value_x,value_y,result
0.440669409,0.7424494,0.593534602
0.743458803,0.478820247,1.552688733
0.631817554,0.388932334,1.624492229
0.795288667,0.719667558,1.105077836
0.880594503,0.15721692,5.601143338
0.738009733,0,"""Cannot divide by zero"""
0.443025276,0.460429784,0.962199431
0.050946115,0.17853634,0.285354313
0.34930675,0.601320399,0.580899552
0.832470648,0.186403235,4.465966747
0.374276939,0.351845829,1.063752667
0.368630146,0.078929858,4.670351043
0.752013069,0.437694699,1.718122405
0.229621517,0.150330608,1.52744355
0.924572007,0.298682319,3.095502973
0.119968845,0.790900894,0.151686319
0.002809477,0.941163297,0.002985111
0.380861885,0.38109119,0.999398292
0.103984435,0.113571752,0.915583618
0.95036809,0.647813146,1.46704045
0.318715551,0.274061229,1.162935568
0.72433711,0.677093975,1.069773381
0.608572885,0.850389513,0.715640157
0.856959697,0.345198488,2.482512892
0.743176927,0.31386675,2.367810311
0.182731688,0.315954792,0.578347576
0.965688796,0.464276473,2.079986501
0.605859705,0.062481588,9.696611867
0.330860229,0.534279434,0.619264392
0.176077533,0.59582992,0.295516434
0.57349012,0.683692138,0.838813389
0.575998233,0.452389728,1.273234554
0.522514467,0.46374177,1.126735826
0.342016765,0.570816859,0.59917075
0.509066775,0.765101072,0.665358857
0.725959107,0.707935572,1.025459288
0.595998152,0.055239046,10.78943596
0.958894389,0.748722795,1.280706818
0.011552471,0.029656551,0.389541957
0.426608705,0.486380041,0.877109809
0.476505823,0.34503287,1.381044717
0.496831402,0.506448468,0.98101077
0.996458039,0.46652266,2.135926341
0.924682625,0.820827805,1.126524491
0.374750039,0.82743847,0.452903814
0.397845937,0.242154969,1.642939387
0.925155278,0.054487116,16.97934004
0.564402922,0.716783031,0.78741111
0.05821226,0.141470978,0.411478457
0.30279475,0.875045236,0.346033254
0.734031594,0.962924268,0.76229421
0.429799208,0.684168407,0.628206745
0.621640037,0.258634798,2.403543694
0.330639233,0.30453432,1.085720759
0.42162654,0.179339973,2.350990312
0.137184784,0.152736305,0.898180583
0.253511108,0.60476285,0.41919094
0.273809528,0.810835018,0.337688336
0.474079068,0.161443779,2.936496354
0.243787516,0.115039391,2.119165567
0.722671062,0.325070124,2.223123593
0.998965519,0.13570928,7.361070061
0.249434352,0.263382351,0.947042775
0.113093509,0.352220518,0.321087225
0.513727537,0.13283957,3.867277936
0.173368384,0.700606452,0.247454736
0.990965442,0.607890461,1.630171068
0.209018904,0.276053508,0.757168077
0.80398141,0.503883732,1.595569293
0.415179333,0.354927925,1.169756742
0.760202232,0.958894962,0.79278989
0.08215352,0.306717914,0.267847153
0.442046934,0.993612907,0.444888478
0.561575837,0.039627274,14.1714475
0.676523055,0.943143664,0.717306473
0.7208931,0.380445598,1.89486514
0.218323233,0.364013093,0.599767527
0.330774945,0.529435989,0.624768531
0.518653175,0.844048024,0.614483016
0.366777855,0.107273496,3.419091091
0.93500603,0.784280652,1.19218296
0.436353831,0.467539639,0.933298045
0.579845358,0.597755875,0.970037072
0.992929233,0.168785183,5.882798579
0.324280774,0.61878618,0.524059497
0.620737205,0.175220831,3.54259936
0.483564338,0.85059049,0.568504285
0.485593001,0.569300669,0.852964044
0.590678002,0.851763396,0.693476622
0.29287887,0.111904076,2.617231466
0.725320847,0.581194385,1.247983231
0.774762998,0.841913137,0.920241013
0.947879023,0.695038567,1.363779031
0.687094959,0.382596772,1.795872337
0.334934427,0.023846294,14.04555459
0.465852982,0.020388469,22.84884531
0.291323826,0.104845818,2.778592708
0.151838348,0.196416453,0.773042918
0.447408525,0.13158748,3.400084292
0.790172987,0.911953303,0.866462114
0.04725837,0.44183255,0.106959911
0.971174147,0.083959631,11.567156
0.569227887,0.957222267,0.594666366
0.405675829,0.630502379,0.643416809
0.841742457,0.150543745,5.591347939
0.002293554,0.509710417,0.00449972
0.476974806,0.785934596,0.606888675
0.393597812,0.643705592,0.611456258
0.177909186,0.862708729,0.206221614
0.126960893,0.047193787,2.690203524
0.724142309,0.831160674,0.871242266
0.816349833,0.446230087,1.829437004
0.72694612,0.816045445,0.890815732
0.070855565,0.351110816,0.201803995
0.347451115,0.759162579,0.45767682
0.914294763,0.827093217,1.105431339
0.909322788,0.921685588,0.986586749
0.439532957,0.215191871,2.042516544
0.309489921,0.657517519,0.470694562
0.277076077,0.033623738,8.24049005
0.013552477,0.022601493,0.599627508
0.595387896,0.194273556,3.064688319
0.599823603,0.33799068,1.774674978
0.633633952,0.402582548,1.573923052
0.05729542,0.080770568,0.709360119
0.917804944,0.444137156,2.066489895
0.248808191,0.337865381,0.736412208
0.054902489,0.284976496,0.192656201
0.945865639,0.55074843,1.717418675
0.806916116,0.757754262,1.06487836
0.831226611,0.300359836,2.767435962
0.995576488,0.303910259,3.275889702
0.442879717,0.638602105,0.693514339
0.041097012,0.203401172,0.202049042
0.316306377,0.227628646,1.389571928
0.849387827,0.808559709,1.050494871
0.561184421,0.874551184,0.641682763
0.606883508,0.648825002,0.935357772
0.010081631,0.460994349,0.021869315
0.443165211,0.570519398,0.77677501
0.795288184,0.149597757,5.316177185
0.360561355,0.897241821,0.40185527
0.33779642,0.3523782,0.95861895
0.680015372,0.1294039,5.254983602
0.856579504,0.225840513,3.792851392
0.606346532,0.34313905,1.767057795
0.763420095,0.461622375,1.653776195
0.169339733,0.54985157,0.307973537
0.813910729,0.059532528,13.67169778
0.724565557,0.086766434,8.350758749
0.80085734,0.107337214,7.461134028
0.028935753,0.796871317,0.036311701
0.232657513,0.452898809,0.513707495
0.254606047,0.22563897,1.128377989
0.712649352,0.976786602,0.72958551
0.411448489,0.147642368,2.786791448
0.648432531,0.546263243,1.187033066
0.323154738,0.061396793,5.263381373
0.27786341,0.305377036,0.909902768
0.150910467,0.70347344,0.214521912
0.911476491,0.4802335,1.897986064
0.806282858,0.020896628,38.58435254
0.350404301,0.265211453,1.321226127
0.709254519,0.831275272,0.85321258
0.769230281,0.535616051,1.436159876
0.708188065,0.209482017,3.38066282
0.354839916,0.450959303,0.786855742
0.754360226,0.261728707,2.882221958
0.642489509,0.358743352,1.790944709
0.383691839,0.954953727,0.401791027
0.210568031,0.340425534,0.618543587
0.066173097,0.325473631,0.203313236
0.193318525,0.247898174,0.779830368
0.968915766,0.840161223,1.153249804
0.255880899,0.212408136,1.204666188
0.573371289,0.274345744,2.089958752
0.103953236,0.37622829,0.276303613
0.348405313,0.864288809,0.403112142
0.308341969,0.407913181,0.755900969
0.732811588,0.738061877,0.992886384
0.332392444,0.274410805,1.211295027
0.57983786,0.654750485,0.885585996
0.360121694,0.967692523,0.372144752
0.418809604,0.82904518,0.505171026
0.365365755,0.96234317,0.379662647
0.476563339,0.749967264,0.635445521
0.169414611,0.383291278,0.441999651
0.648030091,0.154322689,4.199188688
0.224363131,0.187047975,1.199495108
0.496173901,0.934895474,0.530726605
0.773652715,0.425460703,1.818388182
0.203223665,0.140157697,1.449964359
0.911279139,0.721228895,1.263508915
0.955553969,0.867814524,1.101103915
0.871810606,0.334051161,2.609811634
0.499073943,0.686897202,0.726562784
0.943498698,0.446062549,2.115171293
0.193373886,0.295248866,0.654952172
0.807451029,0.908769424,0.888510339
0.313147837,0.933706974,0.335381276
0.743907431,0.188752345,3.941182457
0.36331962,0.878085415,0.413763415
0.447237114,0.191267209,2.338284312
